level_1,level_2,level_3,level_4,level_5,description
Cognitive Function,,,,,"The mental processes involved in acquiring knowledge, understanding, and interacting with the environment, including thinking, remembering, learning, and reasoning."
Cognitive Function,Memory,,,,"The ability to encode, store, retain, and recall information and experiences."
Cognitive Function,Memory,Working Memory,,,The ability to temporarily hold and manipulate information for cognitive tasks.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,,The ability to temporarily store and manipulate verbal information.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Phonological Loop,The component responsible for temporary storage and rehearsal of verbal information.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Verbal Manipulation,The ability to actively process and transform verbal information while holding it in memory.
Cognitive Function,Memory,Working Memory,Visuospatial Working Memory,,The ability to temporarily store and manipulate visual and spatial information.
Cognitive Function,Memory,Working Memory,Visuospatial Working Memory,Visual Cache,The temporary storage of visual patterns and forms.
Cognitive Function,Memory,Working Memory,Visuospatial Working Memory,Inner Scribe,The component responsible for maintaining spatial and movement information.
Cognitive Function,Memory,Long-term Memory,,,The storage and retrieval of information over extended periods of time.
Cognitive Function,Memory,Long-term Memory,Episodic Memory,,Memory for personal experiences and specific events with their temporal and spatial context.
Cognitive Function,Memory,Long-term Memory,Episodic Memory,Autobiographical Memory,Memory for personal life events and experiences across one's lifetime.
Cognitive Function,Memory,Long-term Memory,Episodic Memory,Source Memory,Memory for the context or source of learned information.
Cognitive Function,Memory,Long-term Memory,Semantic Memory,,"Memory for general knowledge, facts, concepts, and meaning independent of personal experience."
Cognitive Function,Memory,Long-term Memory,Semantic Memory,Categorical Knowledge,Memory for classification and organization of concepts and their relationships.
Cognitive Function,Memory,Long-term Memory,Semantic Memory,Factual Knowledge,"Memory for specific facts, definitions, and learned information."
Cognitive Function,Memory,Long-term Memory,Procedural Memory,,"Memory for skills, procedures, and motor sequences."
Cognitive Function,Memory,Long-term Memory,Procedural Memory,Motor Skill Memory,Memory for learned physical movements and motor patterns.
Cognitive Function,Memory,Long-term Memory,Procedural Memory,Cognitive Skill Memory,Memory for learned cognitive procedures and problem-solving sequences.
Cognitive Function,Memory,Short-term Memory,,,The capacity to hold a small amount of information in an readily available state for a brief period.
Cognitive Function,Memory,Short-term Memory,Auditory Short-term Memory,,The ability to temporarily hold auditory information in memory.
Cognitive Function,Memory,Short-term Memory,Visual Short-term Memory,,The ability to temporarily hold visual information in memory.
Cognitive Function,Executive Function,,,,"Higher-order cognitive processes that enable goal-directed behavior, including planning, decision-making, and problem-solving."
Cognitive Function,Executive Function,Cognitive Flexibility,,,The ability to adapt thinking and behavior in response to changing situations or requirements.
Cognitive Function,Executive Function,Cognitive Flexibility,Task Switching,,The ability to shift attention between different tasks or mental sets.
Cognitive Function,Executive Function,Cognitive Flexibility,Adaptive Problem Solving,,The ability to modify strategies and approaches based on feedback or changing conditions.
Cognitive Function,Executive Function,Inhibitory Control,,,The ability to suppress inappropriate responses and resist interference from irrelevant stimuli.
