level_1,level_2,level_3,level_4,level_5,description
Cognitive Function,,,,,"The mental processes involved in acquiring, processing, and utilizing information, including thinking, reasoning, learning, and memory."
Cognitive Function,Memory,,,,"The ability to encode, store, retain, and recall information and experiences."
Cognitive Function,Memory,Working Memory,,,The ability to temporarily hold and manipulate information for cognitive tasks.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,,The ability to temporarily store and manipulate verbal information.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Phonological Loop,The system for temporarily storing and rehearsing speech-based information.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Semantic Working Memory,The ability to temporarily maintain and manipulate meaning-based verbal information.
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,,The ability to temporarily store and manipulate visual and spatial information.
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Visual Buffer,The system for temporarily maintaining visual information in working memory.
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Spatial Manipulation,The ability to mentally manipulate spatial information in working memory.
Cognitive Function,Memory,Long-term Memory,,,The storage and retrieval of information over extended periods of time.
Cognitive Function,Memory,Long-term Memory,Declarative Memory,,"Conscious recollection of facts and events, including both episodic and semantic memory."
Cognitive Function,Memory,Long-term Memory,Declarative Memory,Episodic Memory,Memory for personally experienced events and their temporal-spatial context.
Cognitive Function,Memory,Long-term Memory,Declarative Memory,Semantic Memory,"Memory for general knowledge, concepts, and facts about the world."
Cognitive Function,Memory,Long-term Memory,Procedural Memory,,"Memory for skills, procedures, and habits that are typically performed automatically."
Cognitive Function,Memory,Long-term Memory,Procedural Memory,Motor Procedural Memory,Memory for physical motor skills and sequences.
Cognitive Function,Memory,Long-term Memory,Procedural Memory,Cognitive Procedural Memory,Memory for cognitive routines and problem-solving procedures.
Cognitive Function,Memory,Short-term Memory,,,The capacity to hold a small amount of information in a readily available state for a brief period.
Cognitive Function,Memory,Short-term Memory,Auditory Short-term Memory,,The ability to temporarily retain auditory information.
Cognitive Function,Memory,Short-term Memory,Visual Short-term Memory,,The ability to temporarily retain visual information.
Cognitive Function,Executive Function,,,,"Higher-order cognitive processes that enable goal-directed behavior, including planning, decision-making, and mental flexibility."
Cognitive Function,Executive Function,Cognitive Flexibility,,,The ability to adapt thinking and behavior in response to changing situations or requirements.
Cognitive Function,Executive Function,Cognitive Flexibility,Task Switching,,The ability to shift attention between different tasks or mental sets.
Cognitive Function,Executive Function,Cognitive Flexibility,Adaptive Thinking,,The ability to modify strategies and approaches based on feedback or changing conditions.
Cognitive Function,Executive Function,Inhibitory Control,,,The ability to suppress inappropriate responses and resist interference from irrelevant information.
Cognitive Function,Executive Function,Inhibitory Control,Response Inhibition,,The ability to suppress automatic or prepotent responses.
Cognitive Function,Executive Function,Inhibitory Control,Interference Control,,The ability to filter out irrelevant information and maintain focus on relevant information.
Cognitive Function,Executive Function,Planning and Organization,,,"The ability to develop strategies, organize information, and plan steps to achieve goals."
Cognitive Function,Executive Function,Planning and Organization,Strategic Planning,,The ability to formulate and sequence steps to achieve specific goals.
Cognitive Function,Executive Function,Planning and Organization,Time Management,,The ability to organize and prioritize tasks within time constraints.
Cognitive Function,Processing Speed,,,,The efficiency and speed with which cognitive tasks are performed and information is processed.
Cognitive Function,Processing Speed,Perceptual Processing Speed,,,The speed at which visual or auditory information is processed and understood.
Cognitive Function,Processing Speed,Perceptual Processing Speed,Visual Processing Speed,,The speed of processing and responding to visual stimuli.
Cognitive Function,Processing Speed,Perceptual Processing Speed,Auditory Processing Speed,,The speed of processing and responding to auditory stimuli.
Cognitive Function,Processing Speed,Cognitive Processing Speed,,,The speed at which mental operations and problem-solving tasks are completed.
Cognitive Function,Processing Speed,Cognitive Processing Speed,Decision Speed,,The speed at which simple decisions can be made.
Cognitive Function,Processing Speed,Cognitive Processing Speed,Mental Operation Speed,,The speed of performing basic mental calculations and manipulations.
Cognitive Function,Language Processing,,,,"The cognitive aspects of understanding and using language, including comprehension and production."
Cognitive Function,Language Processing,Verbal Comprehension,,,The ability to understand and process spoken or written language.
Cognitive Function,Language Processing,Verbal Comprehension,Reading Comprehension,,The ability to understand and extract meaning from written text.
Cognitive Function,Language Processing,Verbal Comprehension,Auditory Comprehension,,The ability to understand and process spoken language.
Cognitive Function,Language Processing,Verbal Expression,,,The ability to produce and articulate language to communicate thoughts and ideas.
Cognitive Function,Language Processing,Verbal Expression,Oral Expression,,The ability to verbally communicate thoughts and ideas effectively.
Cognitive Function,Language Processing,Verbal Expression,Written Expression,,The ability to communicate thoughts and ideas through writing.
Cognitive Function,Visual-Spatial Processing,,,,"The ability to perceive, analyze, synthesize, and manipulate visual-spatial information."
Cognitive Function,Visual-Spatial Processing,Visual Processing,,,"The ability to perceive, analyze, and interpret visual information."
Cognitive Function,Visual-Spatial Processing,Visual Processing,Visual Recognition,,The ability to identify and recognize visual patterns and objects.
Cognitive Function,Visual-Spatial Processing,Visual Processing,Visual Analysis,,The ability to analyze and interpret complex visual information.
Cognitive Function,Visual-Spatial Processing,Spatial Processing,,,The ability to understand and manipulate spatial relationships and mental representations.
Cognitive Function,Visual-Spatial Processing,Spatial Processing,Mental Rotation,,The ability to mentally rotate and manipulate objects in space.
Cognitive Function,Visual-Spatial Processing,Spatial Processing,Spatial Navigation,,The ability to understand and navigate through spatial environments.
Cognitive Function,Learning,,,,The cognitive processes involved in acquiring new knowledge and skills through experience and instruction.
Cognitive Function,Learning,Skill Acquisition,,,The process of learning and mastering new abilities and procedures.
Cognitive Function,Learning,Skill Acquisition,Motor Skill Learning,,The ability to learn and improve physical movement patterns and coordination.
Cognitive Function,Learning,Skill Acquisition,Cognitive Skill Learning,,The ability to learn and improve mental procedures and strategies.
