level_1,level_2,level_3,level_4,level_5,level_6,description
Cognitive Function,,,,,,Cognitive Function encompasses the mental processes that allow us to carry out any task that requires processing and understanding information.
Cognitive Function,Memory,,,,,"Memory involves the processes related to the encoding, storage, and retrieval of information."
Cognitive Function,Memory,Short-Term Memory,,,,"Short-Term Memory involves the capacity to hold a small amount of information in an active, readily available state for a short period of time."
Cognitive Function,Memory,Short-Term Memory,Verbal Short-Term Memory,,,"Verbal Short-Term Memory is the ability to hold verbal information, such as words and numbers, in mind for short periods."
Cognitive Function,Memory,Short-Term Memory,Verbal Short-Term Memory,Phonological Short-Term Memory,Phonological Short-Term Memory refers to the retention of phonetic or auditory-verbal information over brief intervals.,
Cognitive Function,Memory,Short-Term Memory,Verbal Short-Term Memory,Lexical Short-Term Memory,Lexical Short-Term Memory involves retaining words or lexical information for short durations.,
Cognitive Function,Memory,Short-Term Memory,Visual Short-Term Memory,,,"Visual Short-Term Memory is the capacity to hold visual information, like images and shapes, in mind for short durations."
Cognitive Function,Memory,Short-Term Memory,Visual Short-Term Memory,Object Short-Term Memory,Object Short-Term Memory involves the temporary retention of objects or detailed visual features.,
Cognitive Function,Memory,Short-Term Memory,Visual Short-Term Memory,Spatial Short-Term Memory,Spatial Short-Term Memory refers to the temporary remembrance of spatial information like locations or patterns.,
Cognitive Function,Memory,Long-Term Memory,,,,"Long-Term Memory involves the storage of information over extended periods, ranging from minutes to a lifetime."
Cognitive Function,Memory,Long-Term Memory,Episodic Memory,,,Episodic Memory encompasses the ability to recall personal experiences and specific events from one's past.
Cognitive Function,Memory,Long-Term Memory,Episodic Memory,Autobiographical Memory,Autobiographical Memory relates to the capacity to recall personal life events and experiences.,
Cognitive Function,Memory,Long-Term Memory,Episodic Memory,Flashbulb Memory,Flashbulb Memory involves vividly detailed and enduring memory of significant events.,
Cognitive Function,Memory,Long-Term Memory,Semantic Memory,,,"Semantic Memory refers to the memory of facts, concepts, and general knowledge about the world."
Cognitive Function,Memory,Long-Term Memory,Semantic Memory,Conceptual Knowledge,"Conceptual Knowledge entails understanding and memory of categories, synonyms, or features of different entities.",
Cognitive Function,Memory,Long-Term Memory,Semantic Memory,Lexical Knowledge,Lexical Knowledge pertains to the retention of word meanings and language-related information.,
Cognitive Function,Memory,Long-Term Memory,Procedural Memory,,,Procedural Memory involves the memory of motor skills and actions.
Cognitive Function,Memory,Long-Term Memory,Procedural Memory,Motor Sequence Learning,Motor Sequence Learning is the memory and acquisition of sequences of movements.,
Cognitive Function,Memory,Long-Term Memory,Procedural Memory,Skill Acquisition,Skill Acquisition involves learning and refining new motor skills through practice.,
Cognitive Function,Memory,Working Memory,,,,Working Memory refers to the temporary storage and manipulation of information necessary for complex cognitive tasks.
Cognitive Function,Memory,Working Memory,Phonological Loop,,,Phonological Loop refers to the component of working memory involved in holding and processing verbal and auditory information.
Cognitive Function,Memory,Working Memory,Phonological Loop,Articulatory Rehearsal Component,Articulatory Rehearsal Component involves subvocal repetition to keep verbal information active.,
Cognitive Function,Memory,Working Memory,Phonological Loop,Phonological Store,Phonological Store is responsible for the retention of speech-based information over short durations.,
Cognitive Function,Memory,Working Memory,Visuospatial Sketchpad,,,Visuospatial Sketchpad is the part of working memory that retains visual and spatial information.
Cognitive Function,Memory,Working Memory,Visuospatial Sketchpad,Visual Cache,Visual Cache holds onto color and form data temporarily.,
Cognitive Function,Memory,Working Memory,Visuospatial Sketchpad,Inner Scribe,Inner Scribe helps manipulate spatial and movement data within short-term visual memory.,
Cognitive Function,Executive Functioning,,,,,"Executive Functioning refers to a set of cognitive processes that are necessary for the cognitive control of behavior, including tasks such as problem-solving, planning, and attention management."
Cognitive Function,Executive Functioning,Inhibitory Control,,,,"Inhibitory Control involves the ability to suppress automatic, dominant, or prepotent responses while selecting appropriate behavior that is consistent with completing a task or goal."
Cognitive Function,Executive Functioning,Inhibitory Control,Response Inhibition,,,Response Inhibition is the ability to suppress actions that are inappropriate or no longer required.
Cognitive Function,Executive Functioning,Inhibitory Control,Response Inhibition,Prepotent Inhibition,Prepotent Inhibition involves controlling automatic tendencies and impulses.,
Cognitive Function,Executive Functioning,Inhibitory Control,Response Inhibition,Semantic Inhibition,Semantic Inhibition is the ability to suppress irrelevant meanings or associations during cognitive tasks.,
Cognitive Function,Executive Functioning,Inhibitory Control,Interference Control,,,Interference Control involves the ability to resist distractions and maintain focus.
Cognitive Function,Executive Functioning,Inhibitory Control,Interference Control,Cognitive Interference,"Cognitive Interference refers to perturbations disrupting focus, arising from competing thoughts or memories.",
Cognitive Function,Executive Functioning,Inhibitory Control,Interference Control,Perceptual Interference,Perceptual Interference involves the disruption in processing due to irrelevant sensory input.,
Cognitive Function,Executive Functioning,Cognitive Flexibility,,,,"Cognitive Flexibility is the mental ability to switch between thinking about different concepts, and to think about multiple concepts simultaneously."
Cognitive Function,Executive Functioning,Cognitive Flexibility,Task Switching,,,Task Switching refers to shifting attention between different tasks or mental processes.
Cognitive Function,Executive Functioning,Cognitive Flexibility,Task Switching,Simple Task Shifting,Simple Task Shifting involves alternating attention between less complex tasks or stimuli.,
Cognitive Function,Executive Functioning,Cognitive Flexibility,Set Shifting,,,Set Shifting involves changing one's approach or strategy in response to changing demands or rules.
Cognitive Function,Executive Functioning,Cognitive Flexibility,Set Shifting,Perseverance Reduction,Perseverance Reduction pertains to minimizing repetitive or unproductive thought patterns in favor of adaptable thinking.,
Cognitive Function,Processing Speed,,,,,"Processing Speed is the pace at which individuals can perceive, understand, and respond to information."
Cognitive Function,Processing Speed,Perceptual Speed,,,,Perceptual Speed refers to the ability to quickly and accurately compare or process visual stimuli.
Cognitive Function,Processing Speed,Perceptual Speed,Visual Perceptual Speed,,,Visual Perceptual Speed is the rate of processing visual information quickly and accurately.
Cognitive Function,Processing Speed,Cognitive Speed,,,,Cognitive Speed involves the quick and efficient processing of information in the brain.
Cognitive Function,Processing Speed,Cognitive Speed,Mental Calculation Speed,,,Mental Calculation Speed refers to the rapid processing and calculation of problems without external aids.
Cognitive Function,Attention,,,,,Attention encompasses the mental processes involved in focusing on specific stimuli while ignoring others.
Cognitive Function,Attention,Selective Attention,,,,Selective Attention is the capacity to focus on relevant stimuli while ignoring irrelevant distractions.
Cognitive Function,Attention,Selective Attention,Visual Selective Attention,,,Visual Selective Attention concerns focusing on relevant visual stimuli and ignoring distractions.
Cognitive Function,Attention,Selective Attention,Visual Selective Attention,Visual Background Discrimination,Visual Background Discrimination involves distinguishing relevant figures from a complex visual field.,
Cognitive Function,Attention,Selective Attention,Auditory Selective Attention,,,Auditory Selective Attention involves focusing on specific sounds or voices while ignoring other auditory inputs.
Cognitive Function,Attention,Selective Attention,Auditory Selective Attention,Speech Filtering,Speech Filtering concerns focusing on specific speech or conversations while disregarding auditory noise.,
Emotion Regulation,,,,,,
Emotion Regulation,Emotion Recognition,,,,,The ability to identify and understand one's own emotions and the emotions of others.
Emotion Regulation,Emotion Recognition,Facial Expression Recognition,,,,Identifying emotions through the recognition of facial expressions.
Emotion Regulation,Emotion Recognition,Facial Expression Recognition,Microexpression Recognition,,,"The ability to perceive and interpret brief, involuntary facial expressions that reveal genuine emotions."
Emotion Regulation,Emotion Recognition,Facial Expression Recognition,Cultural Differences in Expression,,,Understanding how different cultures express emotions differently through facial expressions.
Emotion Regulation,Emotion Recognition,Vocal Tone Recognition,,,,Understanding emotions conveyed through vocal tone or intonation.
Emotion Regulation,Emotion Recognition,Vocal Tone Recognition,Prosody Recognition,,,The ability to identify rhythmic and intonational aspects of vocal tone that convey emotional context.
Emotion Regulation,Emotion Recognition,Vocal Tone Recognition,Emotional Timbre,,,"Recognizing emotional characteristics of voice tone, such as warmth or harshness."
Emotion Regulation,Emotion Understanding,,,,,"The capacity to comprehend emotional language and situations, integrating emotional information into one's life and actions."
Emotion Regulation,Emotion Understanding,Empathy,,,,The ability to understand and share the feelings of another.
Emotion Regulation,Emotion Understanding,Empathy,Affective Empathy,,,Experiencing the emotions that another person is feeling.
Emotion Regulation,Emotion Understanding,Empathy,Cognitive Empathy,,,Understanding another person's perspective and emotions without necessarily feeling them.
Emotion Regulation,Emotion Understanding,Emotional Contextualization,,,,Understanding emotions in relation to specific situations and contexts.
Emotion Regulation,Emotion Understanding,Emotional Contextualization,Situational Assessment,,,Evaluating and interpreting emotional dynamics within specific situations.
Emotion Regulation,Emotion Understanding,Emotional Contextualization,Temporal Context,,,Understanding how time and sequence influence emotional reactions and contexts.
Emotion Regulation,Emotion Management,,,,,"The regulation and control of emotions, including the modulation of emotional responses and the ability to handle stress."
Emotion Regulation,Emotion Management,Stress Regulation,,,,Techniques and strategies to manage and regulate stress effectively.
Emotion Regulation,Emotion Management,Stress Regulation,Relaxation Techniques,,,"Practices like meditation, deep breathing, and progressive muscle relaxation to reduce stress."
Emotion Regulation,Emotion Management,Stress Regulation,Cognitive Reappraisal,,,The ability to change one's interpretation of a situation to alter its emotional impact.
Emotion Regulation,Emotion Management,Impulse Control,,,,The ability to resist or delay an emotional or behavioral impulse.
Emotion Regulation,Emotion Management,Impulse Control,Delay of Gratification,,,The capacity to resist the temptation for an immediate reward in preference for a later reward.
Emotion Regulation,Emotion Management,Impulse Control,Response Inhibition,,,Response Inhibition is the ability to suppress actions that are inappropriate or no longer required.
Emotion Regulation,Emotional Expression,,,,,The ability to suppress inappropriate or unwanted responses.
Emotion Regulation,Emotional Expression,Verbal Expression,,,,"The ability to express emotions in a healthy, socially acceptable manner."
Emotion Regulation,Emotional Expression,Verbal Expression,Emotional Articulation,,,Expressing emotions through spoken language.
Emotion Regulation,Emotional Expression,Verbal Expression,Emotional Vocabulary,,,The clarity and effectiveness with which emotions are expressed through words.
Emotion Regulation,Emotional Expression,Non-Verbal Expression,,,,The range of emotion-related words a person uses to express themselves.
Emotion Regulation,Emotional Expression,Non-Verbal Expression,Gestural Communication,,,"Conveying emotions through body language, gestures, and facial expressions."
Emotion Regulation,Emotional Expression,Non-Verbal Expression,Postural Expression,,,Using physical gestures to express emotions.
Emotion Regulation,Emotional Awareness,,,,,Emotion conveyed through body posture.
Emotion Regulation,Emotional Awareness,Self-awareness,,,,The degree to which one is cognizant of emotions and their effects.
Emotion Regulation,Emotional Awareness,Self-awareness,Emotional Reflection,,,Being aware of one's own emotions as they arise.
Emotion Regulation,Emotional Awareness,Self-awareness,Body-Mind Connection,,,The practice of reflecting on one's own emotional experiences and patterns.
Emotion Regulation,Emotional Awareness,Other-awareness,,,,Understanding how physical sensations are related to emotional states.
Emotion Regulation,Emotional Awareness,Other-awareness,Social Cues Interpretation,,,Recognizing and understanding the emotions of others.
Emotion Regulation,Emotional Awareness,Other-awareness,Perspective Taking,,,The ability to detect emotional states in others through social signals and cues.
Social Interaction,,,,,,The ability to see and feel things from another's emotional viewpoint.
Social Interaction,Social Perception,,,,,"This dimension involves the ways individuals interact with others in social contexts, encompassing the ability to engage, communicate, and establish relationships in various environments."
Social Interaction,Social Perception,Facial Emotion Recognition,,,,"The ability to accurately interpret and understand others' emotional states, intentions, and social cues."
Social Interaction,Social Perception,Facial Emotion Recognition,Micro-expression Detection,,,The ability to identify and recognize emotions from facial expressions.
Social Interaction,Social Perception,Facial Emotion Recognition,Micro-expression Detection,Subtle Muscle Movement Recognition,"The skill to notice and interpret brief, involuntary facial expressions that reveal genuine emotions.",
Social Interaction,Social Perception,Theory of Mind,,,,Identifying minimal facial muscle activations that indicate specific emotional states.
Social Interaction,Social Perception,Theory of Mind,First-Order False Belief Understanding,,,"The capacity to understand that others have beliefs, desires, and perspectives that are different from one's own."
Social Interaction,Social Perception,Theory of Mind,First-Order False Belief Understanding,Misleading Information Interpretation,The ability to recognize that another person can hold a false belief about a situation.,
Social Interaction,Social Perception,Body Language Interpretation,,,,The capability to understand how misleading information leads others to form incorrect beliefs.
Social Interaction,Social Perception,Body Language Interpretation,Posture Analysis,,,The capacity to read and understand non-verbal cues from body language during interactions.
Social Interaction,Social Perception,Body Language Interpretation,Posture Analysis,Gesture Posture Integration,The ability to understand attitudes and emotions through analysis of body postures.,
Social Interaction,Social Perception,Prosody Interpretation,,,,Combining posture with gestures to enhance understanding of body language.
Social Interaction,Social Perception,Prosody Interpretation,Tone Variability Detection,,,The ability to discern emotions or intentions from the tone of voice and speech patterns.
Social Interaction,Social Perception,Prosody Interpretation,Tone Variability Detection,Speech Rhythm and Emphasis Perception,The ability to interpret changes in voice tone to understand underlying emotions.,
Social Interaction,Social Communication,,,,,Analyzing speech rhythm and emphasis to gather emotional cues.
Social Interaction,Social Communication,Verbal Communication Skills,,,,The capacity to effectively express oneself and interpret others' verbal and non-verbal communication in social contexts.
Social Interaction,Social Communication,Verbal Communication Skills,Narrative Skills,,,The ability to effectively convey and interpret messages using spoken language.
Social Interaction,Social Communication,Verbal Communication Skills,Narrative Skills,Story Sequence Cohesion,The ability to construct and understand stories and sequences of events in communication.,
Social Interaction,Social Communication,Non-verbal Communication Skills,,,,Ensuring coherence and logical flow in verbal storytelling.
Social Interaction,Social Communication,Non-verbal Communication Skills,Gesture Recognition,,,"The ability to use and understand body language, gestures, facial expressions, and other non-verbal cues during interactions."
Social Interaction,Social Communication,Non-verbal Communication Skills,Gesture Recognition,Cultural Gesture Variability,The ability to recognize and interpret common gestures in communication.,
Social Interaction,Social Communication,Pragmatic Language Skills,,,,Understanding how gesture meanings vary across different cultural contexts.
Social Interaction,Social Communication,Pragmatic Language Skills,Contextual Language Adaptation,,,"The ability to use language effectively and appropriately in social contexts, understanding the nuances of conversation."
Social Interaction,Social Communication,Pragmatic Language Skills,Contextual Language Adaptation,Register Shifting Ability,The skill to modify language and communication style to suit different social contexts and audiences.,
Social Interaction,Social Communication,Active Listening Skills,,,,Switching linguistic register according to social situations.
Social Interaction,Social Communication,Active Listening Skills,Reflective Listening,,,"The capacity to fully concentrate, understand, and respond during interactions."
