level_1,level_2,level_3,level_4,level_5,level_6,description
Cognitive Function,,,,,,"The capacity to perform various mental activities related to learning, reasoning, problem solving, and intellectual functions."
Cognitive Function,Memory,,,,,"The ability to encode, store, and retrieve information when needed."
Cognitive Function,Memory,Short-Term Memory,,,,The capacity for holding a small amount of information in a readily accessible state for a short period.
Cognitive Function,Memory,Short-Term Memory,Immediate Memory,,,The ability to recall information immediately after it is presented.
Cognitive Function,Memory,Short-Term Memory,Immediate Memory,Rehearsal,,The process of actively manipulating information to keep it in short-term memory.
Cognitive Function,Memory,Short-Term Memory,Immediate Memory,Attention Span,,The duration one can focus on a given piece of information without interference.
Cognitive Function,Memory,Short-Term Memory,Delayed Recall,,,The ability to recall information after a delay without rehearsal.
Cognitive Function,Memory,Short-Term Memory,Delayed Recall,Temporal Memory,,Memory for the timing of events and actions.
Cognitive Function,Memory,Long-Term Memory,,,,"The continuous storage of information, potentially over an entire lifespan."
Cognitive Function,Memory,Long-Term Memory,Semantic Memory,,,The storage of facts and general knowledge about the world.
Cognitive Function,Memory,Long-Term Memory,Semantic Memory,Lexical Memory,,The ability to store and retrieve words and their meanings.
Cognitive Function,Memory,Long-Term Memory,Semantic Memory,Implicit Memory,,The unconscious memory of skills and how to do things.
Cognitive Function,Memory,Long-Term Memory,Episodic Memory,,,The recollection of personal experiences and events with contextual details like time and place.
Cognitive Function,Memory,Long-Term Memory,Episodic Memory,Event Order Memory,,The ability to recall the sequence of events in episodic memory.
Cognitive Function,Memory,Working Memory,,,,The ability to temporarily hold and manipulate information for cognitive tasks.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,,,The ability to manipulate verbal information in one's mind.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Phonological Loop,,The component of working memory responsible for auditory information.
Cognitive Function,Memory,Working Memory,Verbal Working Memory,Verbal Manipulation,,The skill of rearranging or transforming verbal information in memory.
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,,,The capacity to hold and manipulate spatial and visual information.
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Visuo-Spatial Sketchpad,,The part of working memory that deals with visual and spatial information.
Cognitive Function,Memory,Working Memory,Visual-Spatial Working Memory,Visuo-Spatial Sketchpad,Object Rotation,The ability to mentally rotate objects and spatial layouts in working memory.
Cognitive Function,Executive Functioning,,,,,"Higher-level cognitive processes used for reasoning, planning, judgment, and managing behavior and emotions."
Cognitive Function,Executive Functioning,Inhibitory Control,,,,The ability to inhibit or control impulsive responses and distractors.
Cognitive Function,Executive Functioning,Inhibitory Control,Response Inhibition,,,The ability to suppress actions that are inappropriate or unwanted.
Cognitive Function,Executive Functioning,Cognitive Flexibility,,,,The capacity to adapt behaviors and thoughts in response to changing goals and environmental stimuli.
Cognitive Function,Executive Functioning,Cognitive Flexibility,Task Switching,,,The ability to shift attention between tasks with different cognitive demands.
Cognitive Function,Executive Functioning,Planning and Organization,,,,"The ability to set goals, develop steps, and orchestrate actions in a structured way."
Cognitive Function,Executive Functioning,Planning and Organization,Strategic Planning,,,The ability to outline long-term objectives and develop methodologies to achieve them.
Cognitive Function,Executive Functioning,Planning and Organization,Strategic Planning,Goal-Setting,,The ability to establish relevant objectives and steps to achieve them.
Cognitive Function,Executive Functioning,Planning and Organization,Resource Management,,,"The skill of efficiently allocating time, energy, and attention to meet goals."
Cognitive Function,Executive Functioning,Planning and Organization,Resource Management,Time Management,,The process of organizing and planning how to divide time between activities.
Cognitive Function,Attention,,,,,The ability to focus on specific stimuli or information in the environment while ignoring other distractions.
Cognitive Function,Attention,Sustained Attention,,,,The capacity to maintain focus on a task or stimulus over an extended period.
Cognitive Function,Attention,Sustained Attention,Vigilance,,,The ability to maintain concentrated attention over prolonged periods of time.
Cognitive Function,Attention,Selective Attention,,,,"The capability to focus on a particular object for a certain period, while simultaneously ignoring irrelevant information."
Cognitive Function,Attention,Selective Attention,Auditory Attention,,,The capacity to focus on auditory stimuli while ignoring other inputs.
Cognitive Function,Attention,Selective Attention,Auditory Attention,Tone Discrimination,,The ability to identify and differentiate between different sounds and tones in a noisy environment.
Cognitive Function,Attention,Divided Attention,,,,The ability to process different information sources and successfully carry out multiple tasks at a time.
Cognitive Function,Attention,Divided Attention,Multi-Tasking,,,The skill of handling more than one task at the same time.
Cognitive Function,Problem Solving and Reasoning,,,,,The process of working through details of a problem to reach a solution and the ability to make inferences and conclusions.
Cognitive Function,Problem Solving and Reasoning,Deductive Reasoning,,,,The ability to draw specific conclusions from general information.
Cognitive Function,Problem Solving and Reasoning,Deductive Reasoning,Syllogistic Reasoning,,,The ability to reach conclusions based on logical arguments using given premises.
Cognitive Function,Problem Solving and Reasoning,Inductive Reasoning,,,,The ability to make broad generalizations from specific observations.
Cognitive Function,Problem Solving and Reasoning,Inductive Reasoning,Pattern Recognition,,,The ability to identify patterns among data or observations.
Cognitive Function,Problem Solving and Reasoning,Inductive Reasoning,Pattern Recognition,Anomaly Detection,,The skill of identifying outliers and inconsistencies within patterns.
Cognitive Function,Problem Solving and Reasoning,Abstract Reasoning,,,,The capacity to understand complex concepts and relationships that are not tied to specific objects or experiences.
Cognitive Function,Problem Solving and Reasoning,Abstract Reasoning,Conceptual Reasoning,,,The ability to manipulate and apply concepts across different contexts.
Cognitive Function,Problem Solving and Reasoning,Abstract Reasoning,Complex Problem Solving,,,The ability to solve new and difficult problems without prior experience in the situation.
Cognitive Function,Processing Speed,,,,,The pace at which one can perceive information and perform simple cognitive tasks.
Cognitive Function,Processing Speed,Perceptual Speed,,,,The ability to quickly and accurately compare or process visual or auditory information.
