level_1,level_2,level_3,level_4,level_5,level_6,description
Cognitive Function,,,,,,
Cognitive Function,Memory,,,,"The mental processes involved in encoding, storing, and retrieving information. This includes both short-term and long-term memory.",
Cognitive Function,Memory,Short-Term Memory,,,"The capacity for holding a small amount of information in an active, readily available state for a short period of time.",
Cognitive Function,Memory,Short-Term Memory,Verbal Short-Term Memory,,"The ability to temporarily hold verbal information, such as words and numbers, in short-term memory.",
Cognitive Function,Memory,Short-Term Memory,Verbal Short-Term Memory,Repetition Maintenance,The process of maintaining verbal information through repetition.,
Cognitive Function,Memory,Short-Term Memory,Verbal Short-Term Memory,Serial Recall,The ability to recall items in the exact order presented.,
Cognitive Function,Memory,Short-Term Memory,Visual Short-Term Memory,,"The ability to temporarily hold visual information, such as shapes and colors, in short-term memory.",
Cognitive Function,Memory,Short-Term Memory,Visual Short-Term Memory,Pattern Recognition,The ability to identify patterns in visual information.,
Cognitive Function,Memory,Short-Term Memory,Visual Short-Term Memory,Object Recall,The ability to recall visual details of objects.,
Cognitive Function,Memory,Long-Term Memory,,,"The ability to store information over extended periods, including episodic, semantic, and procedural memory.",
Cognitive Function,Memory,Long-Term Memory,Episodic Memory,,"The ability to recall specific personal experiences, including context such as time and place.",
Cognitive Function,Memory,Long-Term Memory,Episodic Memory,Contextual Recall,Remembering details of the context in which memories were formed.,
Cognitive Function,Memory,Long-Term Memory,Semantic Memory,,The capacity to recall factual information and general knowledge unrelated to personal experience.,
Cognitive Function,Memory,Long-Term Memory,Semantic Memory,Concept Organization,The ability to organize and categorize factual information.,
Cognitive Function,Memory,Long-Term Memory,Procedural Memory,,"The memory of how to perform tasks, often performed unconsciously, such as riding a bike or typing.",
Cognitive Function,Memory,Long-Term Memory,Procedural Memory,Motor Skills,Skills related to the performance of precise physical actions.,
Cognitive Function,Executive Function,,,,"Cognitive processes that manage and control other cognitive abilities, including planning, working memory, attention, problem solving, and verbal reasoning.",
